Source;Intensité d'entrée;Tension d'entrée;Intensité de sortie;Tension de sortie;Batterie;Température;Date;id;
1;100;10;120;40;50;21;06/04/2023 12:40;600;
1;194,6908901;19,63278557;217,7479802;40,23002649;53,0664968;30,73508328;06/04/2023 12:45;601;
1;166,1675715;16,8159024;172,0806941;44,4189379;57,36955163;26,83433119;06/04/2023 12:50;602;
1;183,2586117;15,79459027;160,0294614;43,83247934;62,05095251;26,06237548;06/04/2023 12:55;603;
1;169,4285646;16,6005693;125,9666729;42,6028885;71,89603769;28,13032483;06/04/2023 13:00;604;
1;157,7043538;10,80724828;199,5240544;40,04463643;72,72344105;28,48912818;06/04/2023 13:05;605;
1;126,6433532;19,78498495;121,0342583;43,94137532;74,63174864;26,25755801;06/04/2023 13:10;606;
1;173,5742074;13,48298487;167,5571476;47,90383515;84,19721967;26,0103068;06/04/2023 13:15;607;
1;107,7620042;11,59312166;121,2065805;45,43855809;88,76222212;21,74622487;06/04/2023 13:20;608;
1;131,22159;17,40436051;167,8100049;42,02094641;95,72658466;29,88284709;06/04/2023 13:25;609;
1;160,0601527;12,93523061;157,6626377;46,69203971;100,254341;27,60555233;06/04/2023 13:30;610;
1;188,7496173;10,79793353;206,4596731;48,04071799;100,2818218;23,67642991;06/04/2023 13:35;611;
1;187,6962778;13,78438382;217,4302739;42,28818953;101,5030098;30,61730539;06/04/2023 13:40;612;
1;163,0698456;10,05177609;219,9258723;47,72794661;105,3315431;25,6629433;06/04/2023 13:45;613;
1;179,640979;11,70352252;197,1299653;40,8479319;109,1878316;27,52122322;06/04/2023 13:50;614;
1;159,0139434;12,26287945;128,4184984;42,93617139;111,0185705;27,93160114;06/04/2023 13:55;615;
1;162,9258025;16,79011456;136,3373257;43,19708856;118,135504;22,81229573;06/04/2023 14:00;616;
1;186,1549673;18,36127809;135,2432545;40,62341399;123,660732;30,88755426;06/04/2023 14:05;617;
1;130,8174745;13,29134959;217,159469;44,42598517;123,8587503;26,2248346;06/04/2023 14:10;618;
1;103,5300414;18,53591752;144,0363516;49,76296241;133,2199694;24,42405632;06/04/2023 14:15;619;
1;144,9346186;15,32530648;154,1573502;40,57441529;140,1491566;29,20242351;06/04/2023 14:20;620;
1;114,9704772;15,22791701;206,979952;48,91535957;141,4144715;23,67232664;06/04/2023 14:25;621;
1;103,9513281;17,55287737;213,3266696;44,42899822;147,3583245;24,33915418;06/04/2023 14:30;622;
1;161,5749803;12,17621923;124,231173;46,18843495;156,7543222;27,88700049;06/04/2023 14:35;623;
1;192,8029342;12,76395732;213,1517204;42,05596646;158,2969817;29,23045088;06/04/2023 14:40;624;
1;180,9075266;12,11798858;213,8293012;46,2873252;161,8340917;30,40464212;06/04/2023 14:45;625;
1;174,1916599;17,66963217;182,10366;46,0641986;167,4313143;21,34429413;06/04/2023 14:50;626;
1;158,9119749;10,34128244;140,2707923;41,37068061;167,5869249;30,61302151;06/04/2023 14:55;627;
1;189,1693921;13,1501806;143,6593501;46,23311622;174,0686365;29,28583137;06/04/2023 15:00;628;
1;160,7350781;16,45585624;125,9253976;42,46571254;176,772293;28,78730559;06/04/2023 15:05;629;
1;197,8963699;10,70675193;200,0927469;43,54425297;184,3379844;23,58988515;06/04/2023 15:10;630;
1;189,6427901;13,03810652;219,6257625;42,82055955;191,1641154;30,4911075;06/04/2023 15:15;631;
1;120,8271232;14,02517165;186,2305107;47,13749089;196,1066133;27,06789028;06/04/2023 15:20;632;
1;122,6728166;11,07199298;165,2292005;48,1802751;205,9831398;21,57126844;06/04/2023 15:25;633;
1;190,0238476;10,43254551;126,8212349;46,70043093;208,2807324;24,37291605;06/04/2023 15:30;634;
1;195,7630206;10,67137874;190,738293;48,72242561;215,6421942;30,12480592;06/04/2023 15:35;635;
1;138,6327766;18,70717968;197,9386104;40,59933024;218,620822;21,95608063;06/04/2023 15:40;636;
1;141,1058335;17,86358721;171,4035729;48,72531375;223,128239;27,63538774;06/04/2023 15:45;637;
1;163,4195106;15,64479323;153,1364209;49,11277111;231,4542714;30,08147359;06/04/2023 15:50;638;
1;123,9424025;16,67864779;176,3563769;43,08177417;241,099431;21,19598568;06/04/2023 15:55;639;
1;126,7220868;13,80313252;204,092295;47,99345979;248,5812699;27,91523394;06/04/2023 16:00;640;
1;199,899007;10,98593276;125,7691299;48,42425086;250,5832437;26,62137183;06/04/2023 16:05;641;
1;153,0537095;19,48637398;148,7573756;40,07778399;258,0624929;28,24044921;06/04/2023 16:10;642;
1;169,2369511;19,15606345;167,6204107;42,59803647;261,6305113;24,16122337;06/04/2023 16:15;643;
1;167,920602;12,15069202;155,2220828;41,05952748;266,2381268;22,94072419;06/04/2023 16:20;644;
1;127,3474562;10,42944194;127,7567547;43,53448717;269,1422586;30,98838222;06/04/2023 16:25;645;
1;113,9396053;11,45508371;148,7755869;41,12700293;269,3174271;29,4646306;06/04/2023 16:30;646;
1;122,0332844;11,92668095;168,832035;42,89637545;278,3464506;21,55078248;06/04/2023 16:35;647;
1;144,3965016;19,04679133;134,3198687;45,21662004;287,4958797;27,67505835;06/04/2023 16:40;648;
1;126,137623;13,1853855;193,5163422;41,19029066;290,6206802;21,00865661;06/04/2023 16:45;649;
1;129,1252255;18,17227319;189,4866332;44,83953574;294,9005338;25,57020869;06/04/2023 16:50;650;
1;186,3304675;14,01769719;171,4908357;49,30954612;300,6256313;28,04532255;06/04/2023 16:55;651;
1;155,1160704;14,90181449;202,5001408;45,75183902;304,1948937;23,40519063;06/04/2023 17:00;652;
1;116,1576154;13,38292167;202,6412567;43,96509627;311,258704;27,09590801;06/04/2023 17:05;653;
1;116,8077314;11,94575668;203,5472773;48,88678598;311,9206703;30,77029134;06/04/2023 17:10;654;
1;148,0857891;19,37072313;123,8957337;49,41047638;317,751251;28,76209457;06/04/2023 17:15;655;
1;120,6184295;11,14198581;122,6667614;45,66749574;323,7297908;30,64508804;06/04/2023 17:20;656;
1;163,965709;14,36079155;213,4161994;40,08103746;325,9440679;28,05264987;06/04/2023 17:25;657;
1;170,4636186;19,34001377;123,6754284;41,89808453;327,3280506;30,54555293;06/04/2023 17:30;658;
1;176,6610335;10,48857778;130,0291677;45,68596966;331,5778925;29,62607334;06/04/2023 17:35;659;
1;185,6962663;17,94465483;143,9672444;40,12349803;332,1530194;23,79150273;06/04/2023 17:40;660;
1;115,989476;19,08025382;206,5680829;49,60217782;338,1660732;29,50980987;06/04/2023 17:45;661;
1;106,9086119;16,25880323;180,851406;47,72204336;340,7454438;22,49638101;06/04/2023 17:50;662;
1;141,2848621;12,53196203;124,8308376;41,13512738;344,3935126;26,69980495;06/04/2023 17:55;663;
1;184,0589095;19,16031812;213,1486581;47,93625662;347,4674676;21,36240448;06/04/2023 18:00;664;
1;137,9305342;14,53835075;217,314732;41,81382069;350,4288852;24,10953647;06/04/2023 18:05;665;
1;163,7146197;14,08565844;123,7347402;44,87404096;358,5728236;21,30210371;06/04/2023 18:10;666;
1;131,0763277;12,98849138;150,4455147;41,27988871;363,743546;29,97173659;06/04/2023 18:15;667;
1;167,940192;19,25945017;195,4729387;44,89221288;369,9463126;29,14222619;06/04/2023 18:20;668;
1;171,1378943;15,24494969;209,0364865;48,02357781;378,4675667;29,79463329;06/04/2023 18:25;669;
1;103,7696539;18,04104814;206,3870725;45,40032356;381,3500433;22,89311384;06/04/2023 18:30;670;
1;140,6340576;15,63567039;196,3674061;41,18690114;382,4466092;21,66496375;06/04/2023 18:35;671;
1;173,9337925;15,41921307;204,6826995;44,6765389;383,0108917;24,22981535;06/04/2023 18:40;672;
1;124,6689684;18,33315303;136,4112416;46,8378843;391,2893646;21,04869585;06/04/2023 18:45;673;
1;132,4522951;19,86464044;153,5179373;43,50324758;395,5479407;27,6448446;06/04/2023 18:50;674;
1;177,1365358;17,6574132;122,8891054;44,10827447;404,0209439;21,52307196;06/04/2023 18:55;675;
1;117,9677916;19,94935016;158,6327024;43,22149073;410,9823324;30,25643471;06/04/2023 19:00;676;
1;198,5285022;13,31099374;204,9622549;41,51309311;415,0263449;21,42088914;06/04/2023 19:05;677;
1;156,1797627;11,63002328;201,9478698;49,40901461;418,81766;25,64852454;06/04/2023 19:10;678;
1;171,8747563;12,46000772;132,5961435;43,32552843;420,437333;25,32367354;06/04/2023 19:15;679;
1;138,1081823;16,01603317;164,1477261;49,84314286;429,5169316;30,65940471;06/04/2023 19:20;680;
1;124,8088877;17,29944871;186,8353957;45,68283419;436,3757134;24,00464879;06/04/2023 19:25;681;
1;121,2950919;17,65780794;215,1530647;41,04569389;442,9820167;28,34304904;06/04/2023 19:30;682;
1;158,1802242;10,50906448;201,778933;45,82875209;448,6111354;25,79881132;06/04/2023 19:35;683;
1;134,8479788;10,66925747;205,3552331;43,16999236;451,2087005;30,48828706;06/04/2023 19:40;684;
1;189,683156;18,04928917;194,239454;42,18346022;451,8028042;29,55660309;06/04/2023 19:45;685;
1;160,2988759;17,33034372;140,7147603;45,9056611;460,9614454;28,30776953;06/04/2023 19:50;686;
1;179,4045144;18,73171102;157,6774644;42,38543335;470,6850875;24,01813096;06/04/2023 19:55;687;
1;127,3346961;17,04575072;138,2786213;45,63542924;471,8896337;27,55062224;06/04/2023 20:00;688;
1;143,5927708;14,83137382;219,6345181;42,07209362;477,3409413;26,30787793;06/04/2023 20:05;689;
1;142,0015645;11,49253542;126,5189411;41,57650531;482,1620958;23,84882896;06/04/2023 20:10;690;
1;155,054646;19,87585471;142,0207686;40,67356713;482,3891707;24,85051183;06/04/2023 20:15;691;
1;120,440518;14,75992059;152,3655718;43,92016479;482,6692076;30,78103788;06/04/2023 20:20;692;
1;189,7196265;18,41883751;177,4085838;45,94994279;483,9123203;28,81876357;06/04/2023 20:25;693;
1;134,5217363;16,51416999;207,8264254;47,16625589;488,2047154;25,96284973;06/04/2023 20:30;694;
1;179,2346014;13,4939717;217,7800991;47,60365258;491,9611821;24,54230013;06/04/2023 20:35;695;
1;111,817965;17,04765462;150,7029949;40,77898353;498,6725185;23,95110329;06/04/2023 20:40;696;
1;157,0658374;15,15095917;204,2340357;46,83731651;498,9928781;26,63081399;06/04/2023 20:45;697;
1;121,9828823;15,58648778;187,9873691;47,13950848;505,1881152;24,55770899;06/04/2023 20:50;698;
1;189,6466431;12,16100673;129,8491152;42,79925408;511,5478933;29,40885343;06/04/2023 20:55;699;
1;180,0303105;15,16049032;185,8038218;46,65933062;515,8573683;22,62113741;06/04/2023 21:00;700;
1;144,8307854;12,2596765;180,0270158;45,43596429;525,3136142;30,06808859;06/04/2023 21:05;701;
1;166,5231113;11,48749059;210,3934901;49,85511496;528,6555889;27,48900363;06/04/2023 21:10;702;
1;102,5187744;16,27757751;121,669098;41,36850516;531,9326571;26,74838754;06/04/2023 21:15;703;
1;132,3412781;14,22108646;160,6752675;44,63904191;538,4156622;29,38744186;06/04/2023 21:20;704;
1;133,3041172;11,16375153;128,6787456;49,07040601;539,6655542;29,59406026;06/04/2023 21:25;705;
1;141,512787;17,17655476;201,9058639;42,39095007;543,5611223;22,9504863;06/04/2023 21:30;706;
1;175,2929504;18,86818186;187,148138;44,09135159;547,4200499;27,10494788;06/04/2023 21:35;707;
1;132,0537412;10,37035706;185,1819617;44,19504156;552,7258061;27,68359151;06/04/2023 21:40;708;
1;128,8765737;16,83609161;171,2029921;43,35904362;562,43731;22,69548671;06/04/2023 21:45;709;
1;106,0183459;15,31801977;166,5413517;44,66288307;563,4857292;24,55024563;06/04/2023 21:50;710;
1;101,695601;12,57206783;160,616339;41,50452903;573,1500444;21,37571069;06/04/2023 21:55;711;
1;140,9640051;10,42653683;212,2561126;42,58955111;576,1224049;23,70572994;06/04/2023 22:00;712;
1;184,3925841;11,70451108;129,0344419;48,16097367;584,7494989;23,5218904;06/04/2023 22:05;713;
1;159,0145543;18,1637473;164,3457146;40,75295659;591,6779913;26,62596429;06/04/2023 22:10;714;
